order_id,date,customer_id,employee_id
176,2010-09-07,11,12
177,2010-10-24,51,6
178,2010-11-07,44,7
179,2011-01-10,66,1
180,2011-01-11,53,6
181,2011-04-18,79,19
182,2011-04-29,63,15
183,2011-05-09,17,19
184,2011-06-04,55,8
185,2011-08-02,14,5
186,2011-11-05,8,11
187,2012-02-24,51,15
188,2012-03-18,13,12
189,2012-03-24,59,9
190,2012-06-10,86,19
191,2012-10-12,12,4
192,2013-05-15,31,2
193,2013-07-24,28,17
194,2013-08-13,49,11
195,2014-03-11,56,16
196,2014-05-31,5,4
197,2014-09-17,27,15
198,2014-10-23,45,2
199,2015-01-21,98,6
200,2015-05-03,8,13
201,2015-07-23,59,1
202,2015-09-09,48,2
203,2015-11-16,90,11
204,2016-01-23,51,8
205,2016-04-15,64,17
206,2017-01-08,38,19
207,2017-05-20,11,2
208,2017-05-30,89,18
209,2017-08-14,97,20
210,2017-11-25,14,13
211,2018-03-14,11,4
212,2018-09-12,45,4
213,2018-11-20,87,18
214,2018-12-06,64,11
215,2019-02-18,39,7
216,2019-07-02,19,6
217,2019-07-28,49,8
218,2019-09-07,85,7
219,2019-09-22,98,2
220,2019-09-25,79,2
221,2020-01-15,9,15
222,2020-06-19,55,18
223,2021-02-17,22,2
224,2021-04-20,44,14
225,2021-05-29,7,13
226,2021-06-05,32,10
227,2021-06-30,90,11
228,2021-07-13,54,9
229,2021-07-30,25,14
230,2021-10-26,62,18
231,2021-11-10,34,13
232,2021-12-03,80,5
233,2022-01-19,17,18
234,2022-06-03,89,10
235,2022-06-10,23,20
236,2022-07-26,72,14
237,2022-08-10,57,16
238,2022-09-18,1,17
239,2022-10-22,88,10
240,2023-01-12,1,9
241,2023-02-22,47,13
242,2023-04-19,19,12
243,2023-06-05,92,16
244,2023-07-19,19,20
245,2023-08-12,90,19
246,2023-08-21,73,7
247,2023-11-21,96,13
248,2024-04-27,7,8
249,2024-07-21,81,12
